#HMM_family	HMM_len	Query_ID	Query_len	E-value	HMM_start	HMM_end	Query_start	Query_end	Coverage
GH13_31	349	FUN_000630-T1	573	6.2e-150	0	349	33	385	1.000000
GH13_29	344	FUN_000630-T1	573	1e-132	0	343	32	384	0.997093
GH13_23	344	FUN_000630-T1	573	4.9e-115	0	342	33	384	0.994186
GH13_17	350	FUN_000630-T1	573	4.9e-91	0	191	33	225	0.545714
GH13_30	365	FUN_000630-T1	573	2.4e-84	0	364	33	383	0.997260
GH13	299	FUN_000630-T1	573	8.1e-81	11	292	32	385	0.939799
GH13_36	314	FUN_000630-T1	573	1.5e-79	0	313	33	384	0.996815
GH13_16	353	FUN_000630-T1	573	2e-74	0	244	33	294	0.691218
GH13_35	351	FUN_000630-T1	573	3.5e-69	0	185	33	220	0.527066
GH13_21	308	FUN_000630-T1	573	1.2e-60	0	306	33	384	0.993506
GH13_20	300	FUN_000630-T1	573	8.1e-54	0	166	33	217	0.553333
GH13_4	400	FUN_000630-T1	573	2e-43	1	187	33	218	0.465000
GH13_2	310	FUN_000630-T1	573	2.8e-36	1	177	33	217	0.567742
GH13_1	306	FUN_000630-T1	573	8e-35	1	299	33	383	0.973856
GH13_39	316	FUN_000630-T1	573	2.2e-34	0	167	33	217	0.528481
GH13_14	289	FUN_000630-T1	573	1.4e-33	1	289	43	379	0.996540
GH13_41	294	FUN_000630-T1	573	6.3e-28	0	161	33	216	0.547619
GH13_18	343	FUN_000630-T1	573	8.9e-27	2	158	52	219	0.454810
GH13_10	313	FUN_000630-T1	573	6.2e-22	3	148	32	219	0.463259
GH13_3	210	FUN_000630-T1	573	3.7e-20	2	147	40	211	0.690476
GH13_32	269	FUN_000630-T1	573	1.3e-19	0	156	49	218	0.579926
GT22	389	FUN_000633-T1	582	9.6e-89	4	358	20	408	0.910026
GH74	233	FUN_000711-T1	838	3.9e-55	16	112	83	182	0.412017
GT4	160	FUN_000828-T1	548	7.7e-25	4	126	350	483	0.762500
GH18	296	FUN_000888-T1	424	6.9e-82	5	286	41	390	0.949324
GH132	303	FUN_000930-T1	436	1.5e-100	9	302	130	434	0.966997
GH20	337	FUN_001001-T1	582	1.5e-86	5	336	182	529	0.982196
GT2_Chitin_synth_2	527	FUN_001012-T1	1216	1.2e-291	2	527	654	1178	0.996205
GH3	216	FUN_001035-T1	682	4e-33	2	140	86	232	0.638889
GH37	491	FUN_001079-T1	741	4e-154	1	490	142	706	0.995927
GH2	752	FUN_001132-T1	894	6.5e-83	26	502	2	677	0.632979
GH89	663	FUN_001148-T1	758	1.5e-203	1	653	66	740	0.983409
GH1	429	FUN_001199-T1	466	1.7e-158	4	423	1	458	0.976690
AA11	191	FUN_001254-T1	421	3.2e-71	0	188	20	214	0.984293
CE4	130	FUN_001269-T1	268	6.3e-24	5	128	68	197	0.946154
GT66	693	FUN_001290-T1	743	5.1e-193	7	599	21	664	0.854257
